time,position_x,position_y,position_z,angle_x,angle_y,angle_z,pos_std
2026-05-19-09-17-04,-0.000000,-0.000000,-0.000000,-0.100000,0.100000,0.000000,1.200000
2026-05-19-09-17-04,0.050000,0.040000,0.050000,-0.100000,0.100000,0.000000,46.599998
2026-05-19-09-17-04,0.060000,0.050000,0.060000,-0.000000,0.000000,0.000000,54.299999
2026-05-19-09-17-05,0.080000,0.050000,0.060000,-0.100000,0.100000,0.000000,75.400002
2026-05-19-09-17-07,0.120000,0.160000,0.150000,-0.000000,0.000000,0.000000,112.900002
2026-05-19-09-17-09,0.100000,0.260000,0.280000,-0.000000,-0.000000,0.100000,154.399994
2026-05-19-09-17-10,0.220000,0.480000,0.450000,-0.000000,0.000000,0.100000,191.899994
2026-05-19-09-17-12,0.330000,0.550000,0.610000,0.000000,0.100000,0.100000,233.300003
2026-05-19-09-17-13,0.500000,0.870000,0.870000,0.000000,0.100000,0.100000,270.600006
2026-05-19-09-17-15,0.740000,1.220000,1.150000,-0.000000,0.000000,0.000000,316.000000
2026-05-19-09-17-17,0.940000,1.390000,1.470000,-0.000000,-0.000000,0.100000,358.100006
2026-05-19-09-17-18,0.970000,2.010000,2.030000,0.100000,0.100000,0.000000,400.399994
2026-05-19-09-17-20,0.960000,1.550000,3.050000,-0.000000,0.100000,0.100000,447.600006
2026-05-19-09-17-21,0.870000,1.140000,4.200000,-0.000000,-0.000000,0.100000,499.100006
2026-05-19-09-17-23,0.810000,0.850000,5.210000,-0.000000,-0.000000,0.200000,546.200012
2026-05-19-09-17-25,0.800000,0.420000,6.300000,-0.000000,0.000000,0.200000,598.599976
2026-05-19-09-17-26,0.840000,0.010000,7.200000,0.000000,-0.000000,0.100000,647.099976
2026-05-19-09-17-28,0.960000,-0.440000,8.220000,-0.100000,-0.000000,0.200000,705.799988
2026-05-19-09-17-29,0.740000,-0.690000,9.230000,-0.100000,-0.000000,0.100000,760.500000
2026-05-19-09-17-31,0.410000,-1.130000,10.430000,-0.100000,-0.000000,0.100000,822.299988
2026-05-19-09-17-32,0.120000,-1.530000,11.480000,-0.100000,0.000000,0.200000,877.599976
2026-05-19-09-17-34,-0.270000,-2.150000,12.790000,-0.100000,-0.000000,0.200000,945.900024
2026-05-19-09-17-36,-0.640000,-2.740000,13.970000,-0.100000,-0.000000,0.200000,1007.900024
2026-05-19-09-17-37,-1.110000,-3.370000,15.230000,-0.100000,-0.000000,0.200000,1077.900024
2026-05-19-09-17-39,-1.430000,-3.970000,16.270000,0.100000,0.000000,0.200000,1142.199951
2026-05-19-09-17-41,-1.920000,-4.600000,17.400000,0.000000,-0.000000,0.200000,1221.900024
2026-05-19-09-17-42,-2.370000,-5.390000,18.410000,-0.000000,-0.000000,0.200000,1305.599976
2026-05-19-09-17-44,-2.780000,-6.130000,19.370001,-0.000000,-0.100000,0.200000,1382.500000
2026-05-19-09-17-46,-3.290000,-7.080000,20.340000,-0.000000,-0.000000,0.100000,1465.900024
2026-05-19-09-17-47,-3.780000,-7.950000,21.190001,-0.100000,-0.100000,0.100000,1556.099976
2026-05-19-09-17-49,-4.350000,-8.790000,22.160000,0.000000,-0.000000,0.100000,1649.300049
2026-05-19-09-17-51,-4.820000,-9.520000,23.120001,-0.100000,0.000000,0.200000,1734.599976
2026-05-19-09-17-52,-5.240000,-10.300000,24.170000,-0.000000,0.000000,0.200000,1827.599976
2026-05-19-09-17-54,-5.630000,-10.980000,25.139999,-0.000000,-0.100000,0.200000,1914.400024
2026-05-19-09-17-55,-6.130000,-11.820000,26.240000,-0.100000,-0.100000,0.200000,2018.099976
2026-05-19-09-17-57,-6.460000,-12.640000,27.549999,-0.000000,-0.100000,0.200000,2129.800049
2026-05-19-09-17-59,-6.740000,-13.450000,28.879999,-0.200000,-0.100000,0.200000,2232.699951
2026-05-19-09-18-00,-6.960000,-14.520000,30.230000,-0.100000,-0.100000,0.300000,2344.300049
2026-05-19-09-18-02,-7.220000,-15.650000,31.620001,-0.100000,-0.100000,0.300000,2462.899902
2026-05-19-09-18-04,-7.650000,-16.700001,33.200001,-0.000000,-0.100000,0.300000,2586.800049
2026-05-19-09-18-05,-7.970000,-17.629999,34.590000,-0.000000,-0.100000,0.200000,2698.100098
2026-05-19-09-18-07,-8.260000,-18.610001,36.180000,-0.000000,-0.100000,0.200000,2821.500000
2026-05-19-09-18-09,-8.520000,-19.530001,37.500000,-0.100000,-0.100000,0.200000,2933.399902
2026-05-19-09-18-10,-8.870000,-20.620001,39.009998,-0.200000,-0.000000,0.300000,3069.199951
2026-05-19-09-18-12,-9.140000,-21.680000,40.450001,-0.100000,-0.100000,0.200000,3194.100098
2026-05-19-09-18-13,-9.460000,-22.750000,41.900002,-0.100000,-0.000000,0.200000,3330.000000
2026-05-19-09-18-15,-9.740000,-23.650000,43.200001,-0.100000,-0.100000,0.200000,3453.000000
2026-05-19-09-18-17,-10.050000,-24.650000,44.840000,-0.100000,-0.000000,0.200000,3601.199951
2026-05-19-09-18-18,-10.390000,-25.760000,46.500000,-0.100000,-0.100000,0.200000,3760.199951
2026-05-19-09-18-20,-10.670000,-26.650000,48.040001,-0.100000,-0.100000,0.200000,3903.000000
2026-05-19-09-18-21,-10.990000,-27.450001,49.689999,-0.100000,-0.100000,0.200000,4049.899902
2026-05-19-09-18-23,-11.330000,-28.030001,51.250000,-0.100000,-0.100000,0.200000,4187.899902
2026-05-19-09-18-25,-11.550000,-28.540001,52.930000,-0.100000,-0.100000,0.300000,4336.700195
2026-05-19-09-18-26,-11.960000,-29.160000,54.700001,-0.100000,-0.000000,0.300000,4502.700195
2026-05-19-09-18-28,-12.140000,-30.030001,56.360001,-0.100000,-0.100000,0.300000,4652.100098
2026-05-19-09-18-29,-12.300000,-31.280001,58.330002,-0.100000,-0.100000,0.300000,4830.899902
2026-05-19-09-18-31,-12.340000,-32.570000,60.130001,-0.200000,-0.100000,0.200000,4995.299805
2026-05-19-09-18-33,-12.540000,-33.740002,62.139999,-0.100000,-0.100000,0.300000,5175.399902
2026-05-19-09-18-34,-12.650000,-34.810001,63.980000,-0.200000,-0.100000,0.300000,5338.299805
2026-05-19-09-18-36,-12.690000,-36.130001,66.129997,-0.100000,-0.200000,0.300000,5531.399902
2026-05-19-09-18-38,-12.700000,-37.450001,68.389999,-0.100000,-0.100000,0.300000,5737.899902
2026-05-19-09-18-39,-12.810000,-38.660000,70.389999,-0.200000,-0.100000,0.300000,5924.799805
2026-05-19-09-18-41,-13.030000,-39.880001,72.309998,-0.200000,-0.100000,0.300000,6113.100098
2026-05-19-09-18-42,-13.260000,-40.970001,74.019997,-0.200000,-0.100000,0.300000,6288.399902
2026-05-19-09-18-44,-13.650000,-41.990002,75.989998,-0.100000,-0.200000,0.300000,6479.700195
2026-05-19-09-18-45,-14.090000,-42.900002,78.129997,-0.100000,-0.100000,0.300000,6686.299805
2026-05-19-09-18-47,-14.500000,-43.720001,80.150002,-0.100000,-0.100000,0.300000,6872.100098
2026-05-19-09-18-49,-14.920000,-44.820000,82.589996,-0.100000,-0.100000,0.300000,7098.100098
2026-05-19-09-18-50,-15.290000,-45.740002,84.750000,-0.100000,-0.100000,0.300000,7304.100098
2026-05-19-09-18-52,-15.630000,-46.939999,87.010002,-0.200000,-0.100000,0.300000,7527.700195
2026-05-19-09-18-53,-15.940000,-47.869999,89.019997,-0.200000,-0.100000,0.300000,7729.700195
2026-05-19-09-18-55,-16.400000,-48.910000,91.419998,-0.100000,-0.100000,0.300000,7969.399902
2026-05-19-09-18-57,-16.889999,-49.930000,93.730003,-0.300000,-0.100000,0.300000,8226.299805
2026-05-19-09-18-58,-17.190001,-50.990002,95.839996,-0.100000,-0.100000,0.300000,8457.400391
2026-05-19-09-19-00,-17.590000,-52.080002,97.919998,-0.100000,-0.200000,0.300000,8703.599609
2026-05-19-09-19-02,-17.990000,-53.090000,99.970001,-0.200000,-0.100000,0.300000,8964.200195
2026-05-19-09-19-03,-18.379999,-54.139999,102.110001,-0.100000,-0.200000,0.200000,9225.700195
2026-05-19-09-19-05,-18.780001,-55.410000,104.440002,-0.200000,-0.100000,0.200000,9506.599609
2026-05-19-09-19-07,-19.120001,-56.419998,106.620003,-0.100000,-0.200000,0.200000,9759.799805
2026-05-19-09-19-08,-19.570000,-57.439999,109.169998,-0.200000,-0.200000,0.300000,10031.500000
2026-05-19-09-19-10,-19.889999,-58.509998,111.879997,-0.200000,-0.100000,0.300000,10313.299805
2026-05-19-09-19-12,-20.230000,-59.459999,114.660004,-0.100000,-0.000000,0.200000,10596.799805
2026-05-19-09-19-13,-20.430000,-60.700001,117.320000,-0.000000,-0.100000,0.300000,10857.400391
2026-05-19-09-19-15,-20.540001,-62.200001,120.269997,-0.000000,-0.100000,0.200000,11143.799805
2026-05-19-09-19-17,-20.690001,-63.470001,122.809998,-0.100000,-0.200000,0.200000,11400.900391
2026-05-19-09-19-18,-20.910000,-64.860001,126.040001,-0.200000,-0.200000,0.200000,11708.200195
2026-05-19-09-19-20,-21.209999,-66.029999,129.009995,-0.200000,-0.200000,0.200000,11987.400391
2026-05-19-09-19-21,-21.570000,-67.470001,132.369995,-0.100000,-0.200000,0.200000,12290.599609
2026-05-19-09-19-23,-21.910000,-68.699997,135.250000,-0.100000,-0.200000,0.200000,12559.900391
2026-05-19-09-19-25,-22.290001,-70.199997,138.690002,-0.200000,-0.200000,0.200000,12884.099609
2026-05-19-09-19-26,-22.740000,-71.669998,142.380005,-0.100000,-0.200000,0.200000,13223.299805
2026-05-19-09-19-28,-23.250000,-72.910004,145.610001,-0.100000,-0.200000,0.200000,13528.200195
2026-05-19-09-19-29,-23.740000,-74.199997,148.899994,-0.100000,-0.200000,0.200000,13835.900391
2026-05-19-09-19-31,-24.230000,-75.449997,151.970001,-0.200000,-0.200000,0.200000,14121.799805
2026-05-19-09-19-32,-24.690001,-76.660004,155.320007,-0.200000,-0.200000,0.200000,14432.200195
2026-05-19-09-19-34,-25.150000,-77.940002,158.929993,-0.100000,-0.200000,0.200000,14772.500000
2026-05-19-09-19-36,-25.590000,-79.059998,162.080002,-0.100000,-0.200000,0.200000,15072.599609
2026-05-19-09-19-37,-26.020000,-80.550003,165.899994,0.000000,-0.200000,0.200000,15430.900391
2026-05-19-09-19-39,-26.430000,-81.930000,169.380005,-0.100000,-0.200000,0.100000,15756.500000
2026-05-19-09-19-40,-26.850000,-83.349998,172.970001,-0.000000,-0.200000,0.100000,16109.099609
2026-05-19-09-19-42,-27.400000,-84.519997,176.210007,-0.000000,-0.200000,0.100000,16429.300781
2026-05-19-09-19-44,-28.030001,-85.980003,180.029999,0.000000,-0.200000,0.200000,16807.099609
2026-05-19-09-19-45,-28.700001,-87.449997,183.520004,0.100000,-0.100000,0.200000,17155.400391
2026-05-19-09-19-47,-29.350000,-89.089996,187.160004,-0.000000,-0.200000,0.200000,17527.000000
2026-05-19-09-19-48,-30.040001,-90.120003,190.589996,0.200000,-0.100000,0.200000,17860.199219
2026-05-19-09-19-50,-30.980000,-90.940002,194.979996,0.000000,-0.200000,0.200000,18262.199219
2026-05-19-09-19-52,-31.940001,-91.690002,199.589996,0.100000,-0.200000,0.100000,18681.599609
2026-05-19-09-19-54,-32.990002,-92.529999,204.509995,0.000000,-0.200000,0.100000,19120.699219
2026-05-19-09-19-55,-33.790001,-93.360001,208.960007,0.100000,-0.200000,0.100000,19523.199219
2026-05-19-09-19-57,-34.470001,-94.120003,212.940002,0.100000,-0.200000,0.100000,19879.000000
2026-05-19-09-19-59,-35.230000,-94.980003,217.720001,0.100000,-0.200000,0.100000,20310.699219
2026-05-19-09-20-00,-35.889999,-95.849998,221.910004,-0.000000,-0.200000,0.100000,20692.099609
2026-05-19-09-20-02,-36.580002,-96.830002,226.470001,0.000000,-0.200000,0.100000,21110.699219
2026-05-19-09-20-03,-37.119999,-97.599998,230.539993,0.100000,-0.200000,0.100000,21480.099609
2026-05-19-09-20-05,-37.669998,-98.529999,235.410004,0.000000,-0.200000,0.100000,21929.099609
2026-05-19-09-20-06,-38.200001,-99.379997,239.779999,0.100000,-0.200000,0.100000,22336.699219
2026-05-19-09-20-08,-38.560001,-100.430000,244.419998,0.000000,-0.200000,0.100000,22776.199219
2026-05-19-09-20-10,-38.880001,-101.400002,248.500000,0.100000,-0.300000,0.100000,23164.699219
2026-05-19-09-20-11,-39.160000,-102.379997,253.309998,-0.000000,-0.200000,0.100000,23631.400391
2026-05-19-09-20-13,-39.470001,-103.040001,257.649994,0.100000,-0.200000,0.200000,24054.599609
2026-05-19-09-20-14,-39.869999,-103.480003,262.390015,0.100000,-0.200000,0.200000,24515.599609
2026-05-19-09-20-16,-40.000000,-104.129997,267.040009,0.200000,-0.200000,0.200000,24926.500000
2026-05-19-09-20-18,-40.200001,-105.169998,272.609985,0.100000,-0.200000,0.200000,25418.500000
2026-05-19-09-20-19,-40.349998,-106.160004,278.350006,0.200000,-0.200000,0.100000,25929.699219
2026-05-19-09-20-21,-40.520000,-107.320000,283.570007,0.100000,-0.200000,0.100000,26390.500000
2026-05-19-09-20-23,-40.520000,-108.500000,288.649994,0.100000,-0.200000,0.100000,26847.000000
2026-05-19-09-20-24,-40.560001,-109.709999,293.399994,0.100000,-0.200000,0.100000,27268.000000
2026-05-19-09-20-26,-40.599998,-110.940002,298.660004,0.200000,-0.200000,0.100000,27732.400391
2026-05-19-09-20-27,-40.660000,-112.400002,304.359985,0.200000,-0.200000,0.100000,28227.099609
2026-05-19-09-20-29,-40.630001,-113.760002,309.489990,0.200000,-0.300000,0.000000,28671.400391
2026-05-19-09-20-30,-40.549999,-115.470001,315.519989,0.200000,-0.200000,0.000000,29203.699219
2026-05-19-09-20-32,-40.389999,-117.120003,321.880005,0.200000,-0.300000,0.000000,29762.099609
2026-05-19-09-20-34,-40.270000,-118.919998,328.429993,0.200000,-0.200000,0.000000,30338.599609
2026-05-19-09-20-36,-40.119999,-120.669998,334.170013,0.200000,-0.300000,0.100000,30858.500000
