time,position_x,position_y,position_z,angle_x,angle_y,angle_z,pos_std
2026-05-19-14-40-20,1.080000,3.080000,2.850000,0.200000,-0.300000,-6.800000,21.000000
2026-05-19-14-40-21,1.100000,3.170000,2.970000,0.300000,-0.600000,-6.900000,21.700001
2026-05-19-14-40-21,1.110000,3.240000,3.060000,0.400000,-0.600000,-6.900000,22.200001
2026-05-19-14-40-21,1.120000,3.290000,3.120000,0.500000,-0.800000,-7.000000,22.600000
2026-05-19-14-40-21,1.130000,3.360000,3.210000,0.600000,-0.800000,-7.100000,23.200001
2026-05-19-14-40-22,1.140000,3.420000,3.290000,0.600000,-0.600000,-7.200000,23.700001
2026-05-19-14-40-22,1.150000,3.480000,3.370000,0.300000,-0.300000,-7.300000,24.200001
2026-05-19-14-40-22,1.160000,3.560000,3.460000,-0.100000,-0.200000,-7.400000,24.799999
2026-05-19-14-40-23,1.180000,3.660000,3.580000,0.200000,-0.600000,-7.900000,25.600000
2026-05-19-14-40-23,1.190000,3.720000,3.650000,0.300000,-0.700000,-7.900000,26.100000
2026-05-19-14-40-23,1.200000,3.770000,3.710000,0.600000,-0.800000,-8.000000,26.500000
2026-05-19-14-40-23,1.210000,3.850000,3.790000,0.600000,-0.900000,-8.200000,27.100000
2026-05-19-14-40-24,1.220000,3.910000,3.870000,0.600000,-0.800000,-8.300000,27.700001
2026-05-19-14-40-24,1.230000,3.960000,3.950000,0.400000,-0.700000,-8.400000,28.200001
2026-05-19-14-40-24,1.240000,4.030000,4.040000,0.400000,-0.700000,-8.500000,28.900000
2026-05-19-14-40-25,1.250000,4.110000,4.150000,0.600000,-0.700000,-8.700000,29.700001
2026-05-19-14-40-25,1.250000,4.160000,4.220000,0.600000,-0.700000,-8.700000,30.200001
2026-05-19-14-40-25,1.250000,4.200000,4.280000,0.800000,-0.800000,-8.800000,30.700001
2026-05-19-14-40-25,1.260000,4.260000,4.370000,0.800000,-0.900000,-8.900000,31.400000
2026-05-19-14-40-26,1.260000,4.320000,4.460000,0.600000,-1.000000,-9.000000,32.000000
2026-05-19-14-40-26,1.270000,4.370000,4.540000,0.500000,-0.800000,-9.100000,32.500000
2026-05-19-14-40-26,1.270000,4.430000,4.640000,0.500000,-0.700000,-9.300000,33.200001
2026-05-19-14-40-27,1.280000,4.500000,4.740000,0.600000,-0.700000,-9.400000,34.000000
2026-05-19-14-40-27,1.280000,4.560000,4.840000,0.500000,-0.800000,-9.400000,34.799999
2026-05-19-14-40-27,1.280000,4.600000,4.900000,0.700000,-0.800000,-9.500000,35.299999
2026-05-19-14-40-28,1.290000,4.660000,5.010000,0.600000,-1.000000,-9.700000,36.099998
2026-05-19-14-40-28,1.290000,4.710000,5.100000,0.600000,-0.900000,-9.800000,36.700001
2026-05-19-14-40-28,1.290000,4.760000,5.200000,0.500000,-0.800000,-9.900000,37.299999
2026-05-19-14-40-29,1.300000,4.810000,5.310000,0.400000,-0.600000,-10.000000,38.000000
2026-05-19-14-40-29,1.300000,4.870000,5.450000,0.600000,-0.600000,-10.200000,38.900002
2026-05-19-14-40-29,1.300000,4.910000,5.540000,0.700000,-0.600000,-10.200000,39.599998
2026-05-19-14-40-29,1.290000,4.940000,5.620000,0.800000,-0.700000,-10.300000,40.099998
2026-05-19-14-40-30,1.290000,4.990000,5.740000,1.000000,-0.700000,-10.400000,40.900002
2026-05-19-14-40-30,1.290000,5.030000,5.850000,0.900000,-0.600000,-10.500000,41.599998
2026-05-19-14-40-30,1.300000,5.050000,5.960000,0.700000,-0.500000,-10.700000,42.200001
2026-05-19-14-40-31,1.300000,5.080000,6.090000,0.500000,-0.200000,-10.800000,43.000000
2026-05-19-14-40-31,1.310000,5.120000,6.250000,0.600000,-0.300000,-10.900000,43.900002
2026-05-19-14-40-31,1.320000,5.150000,6.370000,0.700000,-0.300000,-11.000000,44.700001
2026-05-19-14-40-32,1.330000,5.170000,6.460000,0.800000,-0.400000,-11.100000,45.200001
2026-05-19-14-40-32,1.340000,5.210000,6.590000,0.900000,-0.500000,-11.300000,46.099998
2026-05-19-14-40-32,1.340000,5.250000,6.710000,0.900000,-0.500000,-11.400000,46.799999
2026-05-19-14-40-32,1.350000,5.290000,6.810000,0.800000,-0.400000,-11.500000,47.400002
2026-05-19-14-40-33,1.360000,5.340000,6.930000,0.700000,-0.300000,-11.600000,48.299999
2026-05-19-14-40-33,1.370000,5.400000,7.080000,0.600000,-0.400000,-11.800000,49.299999
2026-05-19-14-40-33,1.370000,5.450000,7.210000,0.600000,-0.400000,-11.800000,50.000000
2026-05-19-14-40-34,1.370000,5.490000,7.310000,0.600000,-0.400000,-11.900000,50.599998
2026-05-19-14-40-34,1.370000,5.540000,7.450000,0.700000,-0.500000,-12.100000,51.500000
2026-05-19-14-40-34,1.370000,5.580000,7.570000,0.700000,-0.500000,-12.200000,52.299999
2026-05-19-14-40-35,1.370000,5.620000,7.690000,0.700000,-0.500000,-12.300000,53.000000
2026-05-19-14-40-35,1.370000,5.670000,7.830000,0.700000,-0.500000,-12.500000,53.900002
2026-05-19-14-40-35,1.380000,5.730000,7.990000,0.900000,-0.500000,-12.600000,55.000000
2026-05-19-14-40-36,1.380000,5.770000,8.100000,0.900000,-0.500000,-12.600000,55.799999
2026-05-19-14-40-36,1.380000,5.800000,8.200000,0.900000,-0.500000,-12.700000,56.400002
2026-05-19-14-40-36,1.370000,5.860000,8.350000,0.800000,-0.600000,-12.900000,57.400002
2026-05-19-14-40-36,1.360000,5.900000,8.470000,0.700000,-0.600000,-13.100000,58.200001
2026-05-19-14-40-37,1.350000,5.930000,8.580000,0.900000,-0.700000,-13.200000,58.900002
2026-05-19-14-40-37,1.350000,5.980000,8.710000,1.100000,-0.800000,-13.400000,59.900002
2026-05-19-14-40-38,1.340000,6.040000,8.870000,1.100000,-0.900000,-13.600000,61.000000
2026-05-19-14-40-38,1.340000,6.070000,8.980000,1.100000,-0.900000,-13.600000,61.799999
2026-05-19-14-40-38,1.330000,6.100000,9.070000,1.000000,-0.800000,-13.700000,62.400002
2026-05-19-14-40-38,1.320000,6.140000,9.220000,1.000000,-0.700000,-13.900000,63.400002
2026-05-19-14-40-39,1.310000,6.170000,9.340000,1.000000,-0.700000,-14.000000,64.300003
2026-05-19-14-40-39,1.300000,6.200000,9.440000,1.100000,-0.800000,-14.100000,65.000000
2026-05-19-14-40-39,1.290000,6.240000,9.560000,1.300000,-1.000000,-14.400000,66.000000
2026-05-19-14-40-40,1.280000,6.290000,9.720000,1.600000,-1.300000,-14.500000,67.199997
2026-05-19-14-40-40,1.270000,6.320000,9.840000,1.600000,-1.400000,-14.600000,68.099998
2026-05-19-14-40-40,1.270000,6.350000,9.930000,1.600000,-1.400000,-14.700000,68.800003
2026-05-19-14-40-40,1.250000,6.380000,10.080000,1.200000,-1.000000,-14.900000,69.900002
2026-05-19-14-40-41,1.230000,6.410000,10.210000,1.100000,-0.800000,-15.000000,70.800003
2026-05-19-14-40-41,1.220000,6.430000,10.320000,1.100000,-0.800000,-15.000000,71.599998
2026-05-19-14-40-41,1.200000,6.450000,10.450000,1.500000,-1.100000,-13.900000,72.599998
2026-05-19-14-40-42,1.170000,6.490000,10.630000,1.700000,-1.300000,-14.000000,73.900002
2026-05-19-14-40-42,1.160000,6.520000,10.760000,1.700000,-1.300000,-14.100000,74.800003
2026-05-19-14-40-42,1.150000,6.540000,10.860000,1.600000,-1.300000,-13.900000,75.500000
2026-05-19-14-40-43,1.140000,6.580000,11.030000,1.400000,-1.100000,-14.100000,76.699997
2026-05-19-14-40-43,1.120000,6.600000,11.160000,1.400000,-0.900000,-14.100000,77.599998
2026-05-19-14-40-43,1.090000,6.620000,11.280000,1.400000,-0.900000,-14.300000,78.500000
2026-05-19-14-40-44,1.050000,6.660000,11.440000,1.600000,-1.000000,-14.400000,79.500000
2026-05-19-14-40-44,0.990000,6.710000,11.640000,1.700000,-1.200000,-14.500000,80.900002
2026-05-19-14-40-44,0.940000,6.740000,11.780000,1.700000,-1.200000,-14.500000,81.900002
2026-05-19-14-40-44,0.910000,6.770000,11.890000,1.600000,-1.100000,-14.600000,82.599998
2026-05-19-14-40-45,0.850000,6.800000,12.060000,1.500000,-1.000000,-14.800000,83.800003
2026-05-19-14-40-45,0.810000,6.840000,12.190000,1.500000,-0.900000,-14.900000,84.800003
2026-05-19-14-40-45,0.770000,6.870000,12.310000,1.500000,-0.800000,-15.000000,85.699997
2026-05-19-14-40-46,0.720000,6.900000,12.460000,1.700000,-1.000000,-15.100000,86.800003
2026-05-19-14-40-46,0.650000,6.940000,12.640000,1.700000,-1.200000,-15.200000,88.199997
2026-05-19-14-40-46,0.600000,6.970000,12.770000,1.700000,-1.200000,-15.200000,89.199997
2026-05-19-14-40-46,0.560000,6.990000,12.880000,1.600000,-1.100000,-15.300000,90.000000
2026-05-19-14-40-47,0.500000,7.030000,13.030000,1.400000,-0.900000,-15.500000,91.300003
2026-05-19-14-40-47,0.450000,7.060000,13.150000,1.400000,-0.700000,-15.500000,92.300003
2026-05-19-14-40-47,0.410000,7.090000,13.260000,1.400000,-0.700000,-15.600000,93.199997
2026-05-19-14-40-48,0.360000,7.120000,13.400000,1.400000,-0.700000,-15.600000,94.400002
2026-05-19-14-40-48,0.290000,7.160000,13.570000,1.400000,-0.700000,-15.700000,95.900002
2026-05-19-14-40-48,0.240000,7.190000,13.700000,1.300000,-0.700000,-15.700000,97.000000
2026-05-19-14-40-48,0.200000,7.220000,13.800000,1.300000,-0.700000,-15.800000,97.800003
2026-05-19-14-40-49,0.140000,7.250000,13.950000,1.300000,-0.500000,-15.800000,99.199997
2026-05-19-14-40-49,0.090000,7.280000,14.090000,1.100000,-0.400000,-15.900000,100.199997
2026-05-19-14-40-49,0.050000,7.310000,14.220000,1.100000,-0.200000,-15.900000,101.199997
2026-05-19-14-40-50,-0.010000,7.340000,14.370000,1.200000,-0.200000,-16.000000,102.500000
2026-05-19-14-40-50,-0.080000,7.390000,14.550000,1.200000,-0.400000,-16.100000,104.000000
2026-05-19-14-40-50,-0.130000,7.420000,14.700000,1.200000,-0.500000,-16.100000,105.199997
2026-05-19-14-40-51,-0.170000,7.450000,14.810000,1.100000,-0.500000,-16.200001,106.099998
2026-05-19-14-40-51,-0.240000,7.480000,14.970000,1.200000,-0.600000,-16.400000,107.400002
2026-05-19-14-40-51,-0.290000,7.520000,15.100000,1.300000,-0.600000,-16.500000,108.599998
2026-05-19-14-40-52,-0.330000,7.540000,15.210000,1.300000,-0.500000,-16.600000,109.599998
2026-05-19-14-40-52,-0.390000,7.580000,15.360000,1.300000,-0.500000,-16.600000,110.900002
2026-05-19-14-40-52,-0.450000,7.610000,15.550000,1.300000,-0.400000,-16.700001,112.500000
2026-05-19-14-40-53,-0.500000,7.640000,15.690000,1.200000,-0.400000,-16.799999,113.800003
2026-05-19-14-40-53,-0.540000,7.660000,15.800000,1.300000,-0.500000,-16.799999,114.699997
2026-05-19-14-40-53,-0.600000,7.680000,15.960000,1.400000,-0.600000,-16.900000,116.199997
2026-05-19-14-40-53,-0.650000,7.700000,16.080000,1.500000,-0.700000,-17.000000,117.300003
2026-05-19-14-40-54,-0.690000,7.710000,16.200001,1.500000,-0.700000,-17.000000,118.500000
2026-05-19-14-40-54,-0.740000,7.730000,16.340000,1.400000,-0.600000,-17.100000,119.900002
2026-05-19-14-40-55,-0.800000,7.750000,16.520000,1.300000,-0.500000,-17.200001,121.599998
2026-05-19-14-40-55,-0.840000,7.770000,16.639999,1.300000,-0.500000,-17.200001,122.900002
2026-05-19-14-40-55,-0.870000,7.780000,16.740000,1.300000,-0.600000,-17.200001,123.800003
2026-05-19-14-40-55,-0.910000,7.800000,16.879999,1.500000,-0.800000,-17.200001,125.300003
2026-05-19-14-40-56,-0.950000,7.820000,17.010000,1.500000,-0.800000,-17.200001,126.599998
2026-05-19-14-40-56,-0.990000,7.830000,17.129999,1.400000,-0.800000,-17.299999,127.699997
2026-05-19-14-40-56,-1.030000,7.850000,17.270000,1.300000,-0.600000,-17.299999,129.199997
2026-05-19-14-40-57,-1.080000,7.860000,17.440001,1.300000,-0.500000,-17.400000,131.000000
2026-05-19-14-40-57,-1.120000,7.870000,17.549999,1.400000,-0.500000,-17.400000,132.300003
2026-05-19-14-40-57,-1.150000,7.880000,17.650000,1.400000,-0.500000,-17.400000,133.300003
2026-05-19-14-40-57,-1.190000,7.900000,17.790001,1.400000,-0.700000,-17.400000,134.899994
2026-05-19-14-40-58,-1.220000,7.910000,17.910000,1.400000,-0.700000,-17.400000,136.199997
2026-05-19-14-40-58,-1.260000,7.930000,18.020000,1.400000,-0.800000,-17.500000,137.399994
2026-05-19-14-40-58,-1.300000,7.950000,18.160000,1.300000,-0.600000,-17.500000,138.899994
2026-05-19-14-40-59,-1.350000,7.960000,18.330000,1.300000,-0.500000,-17.500000,140.699997
2026-05-19-14-40-59,-1.380000,7.970000,18.459999,1.300000,-0.500000,-17.500000,142.100006
2026-05-19-14-40-59,-1.410000,7.970000,18.559999,1.400000,-0.500000,-17.500000,143.100006
2026-05-19-14-40-59,-1.450000,7.980000,18.719999,1.400000,-0.600000,-17.600000,144.800003
2026-05-19-14-41-00,-1.480000,7.980000,18.850000,1.400000,-0.600000,-17.600000,146.100006
2026-05-19-14-41-00,-1.510000,7.980000,18.959999,1.300000,-0.600000,-17.600000,147.399994
2026-05-19-14-41-00,-1.540000,7.990000,19.110001,1.300000,-0.500000,-17.500000,149.000000
2026-05-19-14-41-01,-1.580000,8.000000,19.290001,1.300000,-0.400000,-17.500000,150.899994
2026-05-19-14-41-01,-1.610000,8.010000,19.430000,1.300000,-0.400000,-17.500000,152.300003
2026-05-19-14-41-01,-1.640000,8.010000,19.530001,1.300000,-0.500000,-17.600000,153.399994
2026-05-19-14-41-02,-1.680000,8.020000,19.690001,1.300000,-0.500000,-17.600000,155.100006
2026-05-19-14-41-02,-1.710000,8.030000,19.820000,1.300000,-0.500000,-17.600000,156.600006
2026-05-19-14-41-02,-1.730000,8.040000,19.940001,1.400000,-0.500000,-17.600000,157.899994
2026-05-19-14-41-03,-1.770000,8.050000,20.100000,1.300000,-0.600000,-17.600000,159.500000
2026-05-19-14-41-03,-1.810000,8.070000,20.309999,1.200000,-0.500000,-17.600000,161.500000
2026-05-19-14-41-03,-1.840000,8.080000,20.459999,1.200000,-0.500000,-17.600000,163.199997
2026-05-19-14-41-03,-1.860000,8.090000,20.570000,1.300000,-0.500000,-17.600000,164.300003
2026-05-19-14-41-04,-1.890000,8.110000,20.740000,1.300000,-0.500000,-17.600000,166.100006
2026-05-19-14-41-04,-1.920000,8.120000,20.879999,1.300000,-0.400000,-17.600000,167.600006
2026-05-19-14-41-04,-1.940000,8.120000,21.010000,1.300000,-0.500000,-17.600000,168.899994
2026-05-19-14-41-05,-1.970000,8.140000,21.180000,1.300000,-0.600000,-17.500000,170.699997
2026-05-19-14-41-05,-2.020000,8.150000,21.370001,1.300000,-0.700000,-17.500000,172.800003
2026-05-19-14-41-05,-2.040000,8.170000,21.510000,1.300000,-0.700000,-17.500000,174.399994
2026-05-19-14-41-05,-2.060000,8.180000,21.610001,1.400000,-0.700000,-17.500000,175.600006
2026-05-19-14-41-06,-2.080000,8.200000,21.770000,1.500000,-0.600000,-17.500000,177.500000
2026-05-19-14-41-06,-2.110000,8.210000,21.910000,1.400000,-0.500000,-17.400000,179.000000
2026-05-19-14-41-06,-2.120000,8.230000,22.040001,1.300000,-0.400000,-17.400000,180.399994
2026-05-19-14-41-07,-2.150000,8.240000,22.200001,1.200000,-0.500000,-17.299999,182.300003
2026-05-19-14-41-07,-2.180000,8.260000,22.389999,1.300000,-0.600000,-17.299999,184.399994
2026-05-19-14-41-07,-2.200000,8.280000,22.520000,1.300000,-0.600000,-17.299999,186.000000
2026-05-19-14-41-08,-2.210000,8.290000,22.620001,1.300000,-0.700000,-17.299999,187.300003
2026-05-19-14-41-08,-2.230000,8.310000,22.780001,1.400000,-0.600000,-17.299999,189.199997
2026-05-19-14-41-08,-2.240000,8.320000,22.910000,1.400000,-0.600000,-17.200001,190.800003
2026-05-19-14-41-09,-2.260000,8.340000,23.040001,1.200000,-0.500000,-17.200001,192.199997
2026-05-19-14-41-09,-2.280000,8.350000,23.209999,1.100000,-0.500000,-17.200001,194.100006
2026-05-19-14-41-09,-2.300000,8.370000,23.389999,1.400000,-0.700000,-17.200001,196.399994
2026-05-19-14-41-09,-2.310000,8.380000,23.510000,1.500000,-0.700000,-17.100000,198.000000
2026-05-19-14-41-10,-2.320000,8.390000,23.620001,1.600000,-0.900000,-17.100000,199.300003
2026-05-19-14-41-10,-2.330000,8.400000,23.780001,1.400000,-0.800000,-17.100000,201.300003
2026-05-19-14-41-10,-2.350000,8.410000,23.930000,1.200000,-0.600000,-17.000000,203.000000
2026-05-19-14-41-11,-2.360000,8.420000,24.049999,1.100000,-0.500000,-17.000000,204.500000
2026-05-19-14-41-11,-2.370000,8.440000,24.200001,1.200000,-0.500000,-16.799999,206.500000
2026-05-19-14-41-11,-2.380000,8.450000,24.389999,1.400000,-0.800000,-16.799999,208.899994
2026-05-19-14-41-12,-2.400000,8.460000,24.520000,1.500000,-0.800000,-16.799999,210.699997
2026-05-19-14-41-12,-2.400000,8.470000,24.629999,1.400000,-0.700000,-16.700001,212.000000
2026-05-19-14-41-12,-2.410000,8.480000,24.790001,1.300000,-0.700000,-16.700001,214.100006
2026-05-19-14-41-12,-2.410000,8.500000,24.930000,1.300000,-0.600000,-16.600000,215.899994
2026-05-19-14-41-13,-2.420000,8.500000,25.049999,1.100000,-0.600000,-16.600000,217.500000
2026-05-19-14-41-13,-2.430000,8.520000,25.219999,1.200000,-0.500000,-16.500000,219.600006
2026-05-19-14-41-14,-2.430000,8.530000,25.410000,1.300000,-0.700000,-16.400000,222.100006
2026-05-19-14-41-14,-2.430000,8.540000,25.549999,1.300000,-0.700000,-16.400000,223.899994
2026-05-19-14-41-14,-2.440000,8.540000,25.660000,1.400000,-0.800000,-16.400000,225.399994
2026-05-19-14-41-14,-2.440000,8.550000,25.820000,1.300000,-0.700000,-16.400000,227.600006
2026-05-19-14-41-15,-2.440000,8.550000,25.959999,1.300000,-0.600000,-16.299999,229.399994
2026-05-19-14-41-15,-2.440000,8.560000,26.090000,1.300000,-0.600000,-16.299999,231.100006
2026-05-19-14-41-15,-2.440000,8.560000,26.250000,1.200000,-0.600000,-16.200001,233.100006
2026-05-19-14-41-16,-2.440000,8.550000,26.440001,1.200000,-0.700000,-16.100000,235.600006
2026-05-19-14-41-16,-2.430000,8.540000,26.580000,1.200000,-0.700000,-16.100000,237.399994
2026-05-19-14-41-16,-2.430000,8.540000,26.680000,1.200000,-0.800000,-16.100000,238.899994
2026-05-19-14-41-16,-2.430000,8.530000,26.850000,1.300000,-0.800000,-16.100000,241.100006
2026-05-19-14-41-17,-2.430000,8.530000,27.000000,1.300000,-0.700000,-16.100000,243.000000
2026-05-19-14-41-17,-2.430000,8.520000,27.129999,1.300000,-0.700000,-16.000000,244.699997
2026-05-19-14-41-17,-2.430000,8.510000,27.290001,1.100000,-0.600000,-16.000000,246.899994
2026-05-19-14-41-18,-2.420000,8.500000,27.490000,1.100000,-0.600000,-16.000000,249.600006
2026-05-19-14-41-18,-2.420000,8.490000,27.639999,1.100000,-0.600000,-16.000000,251.600006
2026-05-19-14-41-18,-2.420000,8.490000,27.750000,1.200000,-0.700000,-16.000000,253.100006
2026-05-19-14-41-19,-2.410000,8.480000,27.910000,1.300000,-0.900000,-15.900000,255.399994
2026-05-19-14-41-19,-2.420000,8.480000,28.040001,1.300000,-0.900000,-15.900000,257.399994
2026-05-19-14-41-19,-2.420000,8.480000,28.170000,1.300000,-0.800000,-15.900000,259.200012
2026-05-19-14-41-20,-2.420000,8.480000,28.320000,1.200000,-0.600000,-15.800000,261.399994
2026-05-19-14-41-20,-2.420000,8.490000,28.510000,1.100000,-0.500000,-15.800000,264.200012
2026-05-19-14-41-20,-2.420000,8.500000,28.650000,1.100000,-0.600000,-15.800000,266.299988
2026-05-19-14-41-20,-2.420000,8.510000,28.760000,1.100000,-0.600000,-15.800000,267.899994
2026-05-19-14-41-21,-2.410000,8.510000,28.930000,1.100000,-0.700000,-15.700000,270.200012
2026-05-19-14-41-21,-2.410000,8.520000,29.080000,1.200000,-0.800000,-15.700000,272.299988
2026-05-19-14-41-21,-2.410000,8.520000,29.209999,1.200000,-0.700000,-15.700000,274.100006
2026-05-19-14-41-22,-2.400000,8.520000,29.370001,1.200000,-0.600000,-15.700000,276.500000
2026-05-19-14-41-22,-2.400000,8.520000,29.559999,1.100000,-0.500000,-15.700000,279.299988
2026-05-19-14-41-22,-2.390000,8.530000,29.690001,1.100000,-0.500000,-15.700000,281.399994
2026-05-19-14-41-22,-2.380000,8.530000,29.799999,1.100000,-0.600000,-15.700000,283.000000
