time,position_x,position_y,position_z,angle_x,angle_y,angle_z,pos_std
2026-05-19-14-40-00,0.020000,0.060000,0.020000,-0.300000,-0.300000,-0.700000,0.800000
2026-05-19-14-40-00,0.070000,0.150000,0.030000,-0.300000,-0.300000,-0.700000,1.800000
2026-05-19-14-40-01,0.070000,0.150000,0.030000,-0.300000,-0.300000,-0.700000,2.000000
2026-05-19-14-40-01,0.070000,0.150000,0.030000,-0.300000,-0.400000,-0.700000,2.200000
2026-05-19-14-40-01,0.070000,0.150000,0.030000,-0.300000,-0.400000,-0.700000,2.200000
2026-05-19-14-40-01,-0.000000,0.000000,0.000000,-0.200000,-0.500000,-0.800000,0.000000
2026-05-19-14-40-01,0.000000,0.010000,0.000000,-0.200000,-0.500000,-0.900000,0.100000
2026-05-19-14-40-01,-0.000000,0.010000,-0.000000,-0.200000,-0.500000,-0.900000,0.200000
2026-05-19-14-40-02,-0.010000,0.020000,-0.000000,-0.100000,-0.300000,-0.900000,0.300000
2026-05-19-14-40-02,-0.010000,0.030000,0.010000,-0.000000,-0.400000,-0.900000,0.500000
2026-05-19-14-40-02,-0.010000,0.050000,0.030000,0.100000,-0.500000,-1.000000,0.600000
2026-05-19-14-40-03,-0.010000,0.060000,0.040000,0.100000,-0.700000,-1.000000,0.700000
2026-05-19-14-40-03,0.000000,0.060000,0.030000,0.100000,-0.600000,-1.100000,0.900000
2026-05-19-14-40-03,0.010000,0.060000,0.030000,-0.000000,-0.400000,-1.100000,1.100000
2026-05-19-14-40-04,0.020000,0.060000,0.030000,-0.000000,-0.400000,-1.100000,1.300000
2026-05-19-14-40-04,0.030000,0.060000,0.030000,-0.000000,-0.200000,-1.100000,1.400000
2026-05-19-14-40-04,0.050000,0.070000,0.030000,-0.000000,-0.200000,-1.200000,1.600000
2026-05-19-14-40-05,0.060000,0.080000,0.040000,0.100000,-0.300000,-1.200000,1.800000
2026-05-19-14-40-05,0.070000,0.100000,0.050000,0.100000,-0.400000,-1.300000,2.000000
2026-05-19-14-40-05,0.080000,0.120000,0.070000,0.000000,-0.500000,-1.400000,2.200000
2026-05-19-14-40-06,0.100000,0.170000,0.080000,-0.000000,-0.300000,-1.400000,2.600000
2026-05-19-14-40-06,0.110000,0.200000,0.100000,-0.100000,-0.200000,-1.400000,2.800000
2026-05-19-14-40-06,0.110000,0.220000,0.110000,-0.100000,-0.200000,-1.400000,3.000000
2026-05-19-14-40-06,0.120000,0.260000,0.140000,-0.100000,-0.100000,-1.500000,3.300000
2026-05-19-14-40-07,0.130000,0.300000,0.170000,-0.100000,-0.200000,-1.600000,3.500000
2026-05-19-14-40-07,0.130000,0.330000,0.200000,-0.000000,-0.300000,-1.700000,3.700000
2026-05-19-14-40-07,0.140000,0.380000,0.230000,0.100000,-0.500000,-1.800000,4.000000
2026-05-19-14-40-08,0.150000,0.440000,0.270000,0.200000,-0.400000,-1.800000,4.400000
2026-05-19-14-40-08,0.160000,0.490000,0.300000,0.100000,-0.400000,-1.900000,4.700000
2026-05-19-14-40-08,0.160000,0.520000,0.320000,0.000000,-0.300000,-1.900000,4.900000
2026-05-19-14-40-08,0.170000,0.580000,0.370000,-0.100000,-0.300000,-2.000000,5.200000
2026-05-19-14-40-09,0.180000,0.630000,0.410000,-0.100000,-0.300000,-2.100000,5.500000
2026-05-19-14-40-09,0.180000,0.670000,0.450000,0.100000,-0.400000,-2.200000,5.800000
2026-05-19-14-40-09,0.200000,0.720000,0.490000,0.400000,-0.600000,-2.200000,6.100000
2026-05-19-14-40-10,0.210000,0.780000,0.540000,0.300000,-0.600000,-2.300000,6.600000
2026-05-19-14-40-10,0.230000,0.830000,0.570000,0.300000,-0.500000,-2.300000,6.900000
2026-05-19-14-40-10,0.240000,0.860000,0.600000,0.100000,-0.400000,-2.300000,7.100000
2026-05-19-14-40-11,0.250000,0.930000,0.640000,-0.100000,-0.200000,-2.400000,7.500000
2026-05-19-14-40-11,0.260000,0.980000,0.680000,-0.100000,-0.200000,-2.500000,7.800000
2026-05-19-14-40-11,0.270000,1.050000,0.710000,-0.100000,-0.500000,-2.600000,8.100000
2026-05-19-14-40-12,0.270000,1.140000,0.770000,0.100000,-0.800000,-2.700000,8.500000
2026-05-19-14-40-12,0.300000,1.250000,0.840000,0.200000,-0.900000,-2.900000,9.000000
2026-05-19-14-40-12,0.320000,1.320000,0.910000,0.200000,-0.900000,-2.900000,9.400000
2026-05-19-14-40-12,0.340000,1.380000,0.950000,0.200000,-0.900000,-2.900000,9.700000
2026-05-19-14-40-13,0.380000,1.470000,1.030000,0.200000,-0.600000,-3.000000,10.100000
2026-05-19-14-40-13,0.420000,1.550000,1.090000,0.100000,-0.500000,-3.100000,10.500000
2026-05-19-14-40-13,0.450000,1.600000,1.150000,0.000000,-0.400000,-3.200000,10.800000
2026-05-19-14-40-14,0.490000,1.670000,1.240000,-0.100000,-0.400000,-3.300000,11.200000
2026-05-19-14-40-14,0.540000,1.750000,1.350000,0.100000,-0.700000,-3.500000,11.800000
2026-05-19-14-40-14,0.570000,1.810000,1.420000,0.200000,-0.800000,-3.500000,12.200000
2026-05-19-14-40-14,0.610000,1.860000,1.470000,0.400000,-1.000000,-3.900000,12.500000
2026-05-19-14-40-15,0.650000,1.940000,1.530000,0.600000,-0.800000,-5.000000,13.000000
2026-05-19-14-40-15,0.690000,2.000000,1.600000,0.200000,-0.300000,-5.200000,13.400000
2026-05-19-14-40-15,0.720000,2.050000,1.660000,-0.100000,-0.100000,-5.300000,13.700000
2026-05-19-14-40-16,0.750000,2.120000,1.740000,-0.200000,-0.200000,-5.400000,14.200000
2026-05-19-14-40-16,0.790000,2.200000,1.840000,0.200000,-0.700000,-5.600000,14.800000
2026-05-19-14-40-16,0.810000,2.250000,1.890000,0.300000,-0.900000,-5.700000,15.200000
2026-05-19-14-40-17,0.830000,2.300000,1.950000,0.500000,-1.000000,-5.800000,15.600000
2026-05-19-14-40-17,0.860000,2.370000,2.030000,0.600000,-0.800000,-5.900000,16.100000
2026-05-19-14-40-17,0.890000,2.440000,2.100000,0.400000,-0.600000,-5.900000,16.500000
2026-05-19-14-40-18,0.910000,2.500000,2.170000,0.200000,-0.400000,-6.000000,16.900000
2026-05-19-14-40-18,0.940000,2.580000,2.270000,0.100000,-0.400000,-6.100000,17.500000
2026-05-19-14-40-18,0.960000,2.680000,2.380000,0.200000,-0.600000,-6.200000,18.100000
2026-05-19-14-40-19,0.980000,2.750000,2.460000,0.300000,-0.700000,-6.300000,18.600000
2026-05-19-14-40-19,1.000000,2.800000,2.510000,0.500000,-0.900000,-6.400000,18.900000
2026-05-19-14-40-19,1.020000,2.880000,2.600000,0.600000,-0.800000,-6.500000,19.500000
2026-05-19-14-40-19,1.040000,2.950000,2.680000,0.500000,-0.600000,-6.600000,20.000000
2026-05-19-14-40-20,1.060000,3.010000,2.750000,0.400000,-0.400000,-6.700000,20.400000
